state,xcor,ycor
Andhra Pradesh,-57,-130
Arunachal Pradesh,211,96
Assam,170,56
Bihar,57,44
Chhattisgarh,-9,-36
Goa,-136,-142
Gujarat,-169,-12
Haryana,-97,108
Himachal Pradesh,-88,161
Jammu and Kashmir,-114,216
Jharkhand,43,4
Karnataka,-109,-149
Kerala,-96,-226
Madhya Pradesh,-80,-1
Maharashtra,-122,-72
Manipur,188,24
Maharashtra,145,36
Mizoram,171,-4
Nagaland,199,52
Odisha,45,-42
Punjab,-188,133
Rajasthan,-136,57
Sikkim,100,78
Tamil Nadu,-66,-207
Telangana,-60,-90
Tripura,153,3
Uttarakhand,-56,131
Uttar Pradesh,-34,63
West Bengal,90,-10
